1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,x,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,1,0,0,1,f,f,f,f,m,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,f,f,f,f,f,m,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,f,f,1,0,0,0,0,0,0
1,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,1,f,f,e,f,f,f,f,e,f,m,f,x,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,f,f,f,f,f,f,f,f,e,f,f,f,f,f,m,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,1,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,f,f,f,1,0,0,0,0,0,0
1,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,f,g,f,f,g,f,f,f,f,f,g,f,f,f,f,x,f,f,r,f,f,r,f,f,r,f,f,r,f,f,r,f,f,r,f,f,r,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,x,f,f,f,f,f,f,f,f,f,x,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,f,e,f,f,f,f,1,0,0,0,0,0,0
1,f,f,f,f,g,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,1,1,1,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,f,f,x,e,f,f,f,f,f,f,f,e,f,f,f,f,f,e,f,f,f,f,f,e,f,m,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,f,f,f,f,f,f,f,g,f,f,g,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,1,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
1,f,f,g,f,f,f,g,f,f,f,f,f,f,f,f,f,x,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,e,f,f,1,0,0,1,f,f,m,f,f,f,f,f,f,f,f,f,f,f,f,m,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,1,0,0,0,0,0,0
